Title,Alt Name,CODE,Season,Episode,Resolution,Rating,Watched,Creator,Producer,Year,Season,Genre,Subgenre,Source,link,Review,Clean,Unclean,Subbed,Left,Downloaded,Filtered
Musaigen no Phantom World,,6,,,720p,,2016,,,2016,Winter,,,,,,,,,,,
Naruto,,1,COM,,,,,Studio Pierrot ,TV Tokyo ,2002,Fall,Shounen,,Manga,https://myanimelist.net/anime/20/Naruto?q=Naruto,,,,,,,
Naruto Shippudin,,1,COM,,,,,Studio Pierrot ,TV Tokyo ,2007,Winter,Shounen,,Manga,https://myanimelist.net/anime/1735/Naruto__Shippuuden?q=Naruto Shippudin,,,,,,,
Neon Genesis Evangelion,,5,1.11,,1080p,,,Gainax ,TV Tokyo ,1995,Fall,Mecha,PURE AWESOME,Original,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion?q=Neon Genesis Evangelion,,COM,,TRUE,,,
netoge no yomi,,6,,,,,,,,,,Harem,,,,,,,,,,
No Game No Life,,14,COM,,1080p,,2015,Madhouse,Frontier Works ,2014,Spring,Fantasy,Isekai,Light Novel,https://myanimelist.net/anime/19815/No_Game_No_Life?q=No Game No Life,,COM,,FALSE,,,
No Guns Life,,2,1,6,1080p,,2020,Madhouse,Sony Pictures Entertainment ,2019,Fall,Action,Superpowers,Manga,https://myanimelist.net/anime/39539/No_Guns_Life?q=No Guns Life,,,,,,,
Noragami,,2,5,,,,,Bones ,Avex Entertainment ,2014,Winter,Action,,Manga,https://myanimelist.net/anime/20507/Noragami?q=Noragami,,,,,,,
Norn9 - Norn+Nonet,,6,3,,1080p,,2016,Kinema Citrus ,,2016,Winter,Harem,,Visual Novel,https://myanimelist.net/anime/31452/Norn9__Norn_Nonet?q=Norn9 - Norn%2BNonet,,,,,,,
Nurse Witch Komugi-chan R,,6,,,720p,,2016,,,2016,Winter,,,,,,,,,,,
Oban Star Racers,,14,COM,,1080p,A,,Hal Film Maker ,Sav! The World Productions ,2006,Spring,Adventure,Mystery,Original,https://myanimelist.net/anime/1212/Oban_Star-Racers?q=Oban Star Racers,,COM,,FALSE,,,
One Piece,,2,574,,,,MULTIPLE,Toei Animation ,Fuji TV ,1999,Fall,Shounen,Adventure,Manga,https://myanimelist.net/anime/21/One_Piece?q=One Piece,,,,,,,
One-Punch Man,,14,COM,,1080p,A-,2015,Madhouse,TV Tokyo ,2015,Fall,Superpowers,Comedy,Web Manga,https://myanimelist.net/anime/30276/One_Punch_Man?q=One-Punch Man,,COM,,FALSE,,,
Orange,,1,COM,,1080p,B,2016,Telecom / TMS,DAX Production ,2016,Summer,Slice of Life,Highschool,Manga,https://myanimelist.net/anime/32729/Orange?q=Orange,,,,,,,
Osomatsu-san,,5,14,,,B+,,Studio Pierrot ,TV Tokyo ,2012,Fall,Comedy,,Original,https://myanimelist.net/anime/31174/Osomatsu-san?q=Osomatsu-san,,,,,,,
Overlord,,1,3,13,1080p,A-,2015,Madhouse,,2015,Summer,Fantasy,Isekai,Light Novel,https://myanimelist.net/anime/35073/Overlord_II,,COM,,FALSE,,,
Phantom Requiem For The Phantom ,,14,COM,,,,,Bee Train ,Genco ,2009,Spring,Triller,Drama,Visual Novel,https://myanimelist.net/anime/5682/Phantom__Requiem_for_the_Phantom?q=Phantom Requiem For The Phantom ,,COM,,TRUE,,,
Pokemon,,6,1,26,,,,,,,,,,,,,,,,,,
Prince of Stride - Alternative,,6,,,1080p,B-,2016,,,2016,Winter,,,,,,,,,,,
Princess Principal,,1,COM,,1080p,B,2017,Actas ,Bandai Visual ,2017,Summer,Action,Steampunk,Original,https://myanimelist.net/anime/35240/Princess_Principal?q=princess,,,,,,,
Rakudai Kishi no Cavalry,,14,COM,,,,2015,Silver Link. ,flying DOG ,2015,Fall,Superpowers,School,Light Novel,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry?q=Rakudai Kishi no Cavalry,,COM,,,,,
Ranma 1/2,,3,7,4,,,,Studio Deen ,Shogakukan Productions ,1989,Spring,Comedy,Shounen,Manga,https://myanimelist.net/anime/210/Ranma_½?q=Ranma 1%2F2,,COM,,FALSE,,,
Ranpo Kitan: Game Of Laplace,,1,COM,,1080p,B,2015,,,2015,Summer,,,,,,,,,,,
